date,rank,song,artist
12/10/2023,84,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
12/10/2023,85,Burn It Down,Parker McCollum
12/10/2023,86,Hey Driver,Zach Bryan Featuring The War And Treaty
12/10/2023,87,Northern Attitude,Noah Kahan With Hozier
12/10/2023,88,Save Me The Trouble,Dan + Shay
12/10/2023,89,Perro Negro,Bad Bunny & Feid
12/10/2023,90,El Amor de Su Vida,Grupo Frontera & Grupo Firme
12/10/2023,91,But I Got A Beer In My Hand,Luke Bryan
12/10/2023,92,3D,Jung Kook & Jack Harlow
12/10/2023,93,Mmhmm,BigXthaPlug
12/10/2023,94,Meltdown,Travis Scott Featuring Drake
12/10/2023,95,Bad Idea Right?,Olivia Rodrigo
12/10/2023,96,Slime You Out,Drake Featuring SZA
12/10/2023,97,Rich Men North Of Richmond,Oliver Anthony Music
12/10/2023,98,Soak City,310babii
12/10/2023,99,Turks & Caicos,Rod Wave Featuring 21 Savage
12/10/2023,100,Feather,Sabrina Carpenter
12/24/2023,1,All I Want For Christmas Is You,Mariah Carey
12/24/2023,2,Rockin' Around The Christmas Tree,Brenda Lee
12/24/2023,3,Jingle Bell Rock,Bobby Helms
12/24/2023,4,Last Christmas,Wham!
12/24/2023,5,A Holly Jolly Christmas,Burl Ives
12/24/2023,6,Lovin On Me,Jack Harlow
12/24/2023,7,It's The Most Wonderful Time Of The Year,Andy Williams
12/24/2023,8,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
12/24/2023,9,Feliz Navidad,Jose Feliciano
12/24/2023,10,Sleigh Ride,The Ronettes
12/24/2023,11,The Christmas Song (Merry Christmas To You),Nat "King" Cole
12/24/2023,12,Santa Tell Me,Ariana Grande
12/24/2023,13,Underneath The Tree,Kelly Clarkson
12/24/2023,14,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
12/24/2023,15,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
12/24/2023,16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
12/24/2023,17,Christmas (Baby Please Come Home),Darlene Love
12/24/2023,18,Cruel Summer,Taylor Swift
12/24/2023,19,Greedy,Tate McRae
12/24/2023,20,Snooze,SZA
12/24/2023,21,Paint The Town Red,Doja Cat
12/24/2023,22,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
12/24/2023,23,Deck The Halls,Nat King Cole
12/24/2023,24,It's Beginning To Look A Lot Like Christmas,Michael Buble
12/24/2023,25,Blue Christmas,Elvis Presley
12/24/2023,26,Water,Tyla
12/24/2023,27,Run Rudolph Run,Chuck Berry
12/24/2023,28,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
12/24/2023,29,Agora Hills,Doja Cat
12/24/2023,30,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
12/24/2023,31,Little Saint Nick,The Beach Boys
12/24/2023,32,Please Come Home For Christmas,Eagles
12/24/2023,33,Last Night,Morgan Wallen
12/24/2023,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
12/24/2023,35,Santa Claus Is Comin' To Town,Jackson 5
12/24/2023,36,Wonderful Christmastime,Paul McCartney
12/24/2023,37,Thinkin' Bout Me,Morgan Wallen
12/24/2023,38,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
12/24/2023,39,Everybody,Nicki Minaj Featuring Lil Uzi Vert
12/24/2023,40,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
12/24/2023,41,Lose Control,Teddy Swims
12/24/2023,42,FTCU,Nicki Minaj
12/24/2023,43,Like It's Christmas,Jonas Brothers
12/24/2023,44,Happy Holiday / The Holiday Season,Andy Williams
12/24/2023,45,This Christmas,Donny Hathaway
12/24/2023,46,Fast Car,Luke Combs
12/24/2023,47,Lil Boo Thang,Paul Russell
12/24/2023,48,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
12/24/2023,49,What Was I Made For?,Billie Eilish
12/24/2023,50,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
12/24/2023,51,First Person Shooter,Drake Featuring J. Cole
12/24/2023,52,White Horse,Chris Stapleton
12/24/2023,53,Stick Season,Noah Kahan
12/24/2023,54,Used To Be Young,Miley Cyrus
12/24/2023,55,World On Fire,Nate Smith
12/24/2023,56,Good Good,"Usher, Summer Walker & 21 Savage"
12/24/2023,57,Houdini,Dua Lipa
12/24/2023,58,My Love Mine All Mine,Mitski
12/24/2023,59,Pretty Little Poison,Warren Zeiders
12/24/2023,60,Exes,Tate McRae
12/24/2023,61,Surround Sound,JID Featuring 21 Savage & Baby Tate
12/24/2023,62,On My Mama,Victoria Monet
12/24/2023,63,IDGAF,Drake Featuring Yeat
12/24/2023,64,Monaco,Bad Bunny
12/24/2023,65,Needle,Nicki Minaj Featuring Drake
12/24/2023,66,Strangers,Kenya Grace
12/24/2023,67,Wild Ones,Jessie Murph & Jelly Roll
12/24/2023,68,Get Him Back!,Olivia Rodrigo
12/24/2023,69,Harley Quinn,Fuerza Regida & Marshmello
12/24/2023,70,You Broke My Heart,Drake
12/24/2023,71,Bellakeo,Peso Pluma & Anitta
12/24/2023,72,Truck Bed,HARDY
12/24/2023,73,Save Me The Trouble,Dan + Shay
12/24/2023,74,Beep Beep,Nicki Minaj
12/24/2023,75,500lbs,Lil Tecca
12/24/2023,76,La Diabla,Xavi
12/24/2023,77,You're Losing Me (From The Vault),Taylor Swift
12/24/2023,78,Where The Wild Things Are,Luke Combs
12/24/2023,79,Standing Next To You,Jung Kook
12/24/2023,80,The Painter,Cody Johnson
12/24/2023,81,Jingle Bells,Meghan Trainor
12/24/2023,82,Qlona,Karol G & Peso Pluma
12/24/2023,83,Crazy,Lil Baby
12/24/2023,84,Never Lose Me,Flo Milli
12/24/2023,85,Lace It,"Juice WRLD, Eminem & benny blanco"
12/24/2023,86,Burn It Down,Parker McCollum
12/24/2023,87,Can't Catch Me Now,Olivia Rodrigo
12/24/2023,88,Mind On You,George Birge
12/24/2023,89,Segun Quien,Maluma & Carin Leon
12/24/2023,90,Feather,Sabrina Carpenter
12/24/2023,91,La Victima,Xavi
12/24/2023,92,Hey Driver,Zach Bryan Featuring The War And Treaty
12/24/2023,93,Wondering Why,The Red Clay Strays
12/24/2023,94,DJ Play A Christmas Song,Cher
12/24/2023,95,Different 'Round Here,Riley Green Featuring Luke Combs
12/24/2023,96,Winter Wonderland,Chloe
12/24/2023,97,Run For The Hills,Tate McRae
12/24/2023,98,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
12/24/2023,99,Great Gatsby,Rod Wave
12/24/2023,100,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
